Impresora;Blanco y Negro;Color;fecha lectura
Policia - Patrulla;3927;2526;13-10-2022 14:52:39
Biblioteca Celeste;2943;5348;13-10-2022 14:52:39
13-10-2022 14:52:39 - ERROR al leer impresora: Biblioteca Sonia - ERROR: Error: connect ETIMEDOUT 192.168.6.153:80
Servicios Sociales - Conchi;14584;13787;13-10-2022 14:52:39
Centro de Dia;16584;16296;13-10-2022 14:52:39
13-10-2022 14:52:39 - ERROR al leer impresora: Casa de Cultura - ERROR: Error: read ECONNRESET
13-10-2022 14:52:39 - ERROR al leer impresora: Archivo - Angela - ERROR: Error: connect EHOSTUNREACH 192.168.1.26:80
13-10-2022 14:52:39 - ERROR al leer impresora: Deportes - Emiliano - ERROR: Error: connect EHOSTUNREACH 192.168.9.21:80
*********************** 13-10-2022 - 14:54:28 ********************************
Ayuntamiento Abajo;41089;43994;13-10-2022 14:54:28
Ayuntamiento Arriba;71595;58079;13-10-2022 14:54:28
13-10-2022 14:54:28 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6720;0;13-10-2022 14:54:28
Policia - Patrulla;3927;2526;13-10-2022 14:54:28
Biblioteca Celeste;2943;5348;13-10-2022 14:54:28
13-10-2022 14:54:28 - ERROR al leer impresora: Biblioteca Sonia - ERROR: Error: connect ETIMEDOUT 192.168.6.153:80
Servicios Sociales - Conchi;14584;13787;13-10-2022 14:54:28
Centro de Dia;16584;16296;13-10-2022 14:54:28
Casa de Cultura;17314;1279;13-10-2022 14:54:28
Archivo - Angela;1235;0;13-10-2022 14:54:28
Deportes - Emiliano;4586;0;13-10-2022 14:54:28
Ayuntamiento Planta 1;4154;27606;13-10-2022 14:54:28
*********************** 14-10-2022 - 09:39:49 ********************************
Ayuntamiento Abajo;41122;45346;14-10-2022 09:39:49
Ayuntamiento Arriba;71660;58080;14-10-2022 09:39:49
Juzgado;16949;1966;14-10-2022 09:39:49
Policia - Pablo;6720;0;14-10-2022 09:39:49
Policia - Patrulla;3933;2527;14-10-2022 09:39:49
Biblioteca Celeste;2952;5348;14-10-2022 09:39:49
Biblioteca Sonia;5378;2788;14-10-2022 09:39:49
Servicios Sociales - Conchi;14612;13787;14-10-2022 09:39:49
*********************** 14-10-2022 - 10:28:01 ********************************
Ayuntamiento Abajo;41128;45390;14-10-2022 10:28:01
Ayuntamiento Arriba;71675;58082;14-10-2022 10:28:01
Juzgado;16956;1968;14-10-2022 10:28:01
Policia - Pablo;6720;0;14-10-2022 10:28:01
Policia - Patrulla;3933;2527;14-10-2022 10:28:01
Biblioteca Celeste;2952;5348;14-10-2022 10:28:01
Biblioteca Sonia;5378;2788;14-10-2022 10:28:01
Servicios Sociales - Conchi;14634;13791;14-10-2022 10:28:01
Centro de Dia;16596;16301;14-10-2022 10:28:01
Casa de Cultura;17314;1280;14-10-2022 10:28:01
Archivo - Angela;1235;0;14-10-2022 10:28:01
Deportes - Emiliano;4594;0;14-10-2022 10:28:01
Ayuntamiento Planta 1;4194;27640;14-10-2022 10:28:01
*********************** 14-10-2022 - 14:01:54 ********************************
Ayuntamiento Abajo;41193;45439;14-10-2022 14:01:54
Ayuntamiento Arriba;71754;58105;14-10-2022 14:01:54
14-10-2022 14:01:54 - ERROR al leer impresora: Juzgado - ERROR: Error: connect ETIMEDOUT 192.168.8.72:80
Policia - Pablo;6721;0;14-10-2022 14:01:54
Policia - Patrulla;3933;2527;14-10-2022 14:01:54
14-10-2022 14:01:54 - ERROR al leer impresora: Biblioteca Celeste - ERROR: Error: connect ETIMEDOUT 192.168.6.200:80
Biblioteca Sonia;5385;2788;14-10-2022 14:01:54
Servicios Sociales - Conchi;14698;13800;14-10-2022 14:01:54
Centro de Dia;16641;16304;14-10-2022 14:01:54
Casa de Cultura;17314;1280;14-10-2022 14:01:54
Archivo - Angela;1235;0;14-10-2022 14:01:54
Deportes - Emiliano;4596;0;14-10-2022 14:01:54
Ayuntamiento Planta 1;4202;27650;14-10-2022 14:01:54
*********************** 17-10-2022 - 07:57:07 ********************************
Ayuntamiento Abajo;41195;45798;17-10-2022 07:57:07
Ayuntamiento Arriba;71813;58108;17-10-2022 07:57:07
Juzgado;16958;1970;17-10-2022 07:57:07
Policia - Pablo;6727;0;17-10-2022 07:57:07
Policia - Patrulla;3942;2532;17-10-2022 07:57:07
Biblioteca Celeste;2964;5367;17-10-2022 07:57:07
Biblioteca Sonia;5385;2788;17-10-2022 07:57:07
Servicios Sociales - Conchi;14799;13801;17-10-2022 07:57:07
Centro de Dia;16641;16304;17-10-2022 07:57:07
Casa de Cultura;17314;1284;17-10-2022 07:57:07
Archivo - Angela;1235;0;17-10-2022 07:57:07
Deportes - Emiliano;4596;0;17-10-2022 07:57:07
Ayuntamiento Planta 1;4225;27681;17-10-2022 07:57:07
*********************** 17-10-2022 - 12:35:43 ********************************
Ayuntamiento Abajo;41298;45805;17-10-2022 12:35:43
Ayuntamiento Arriba;71940;58119;17-10-2022 12:35:43
Juzgado;16996;1979;17-10-2022 12:35:43
Policia - Pablo;6727;0;17-10-2022 12:35:43
Policia - Patrulla;3942;2532;17-10-2022 12:35:43
Biblioteca Celeste;2976;5375;17-10-2022 12:35:43
Biblioteca Sonia;5390;2788;17-10-2022 12:35:43
Servicios Sociales - Conchi;14874;13809;17-10-2022 12:35:43
Centro de Dia;16701;16346;17-10-2022 12:35:43
Casa de Cultura;17314;1284;17-10-2022 12:35:43
Archivo - Angela;1235;0;17-10-2022 12:35:43
Deportes - Emiliano;4601;0;17-10-2022 12:35:43
Ayuntamiento Planta 1;4226;27683;17-10-2022 12:35:43
